Ticker,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
MSFT,5/31/2020,"44,776,796","21,590,421",2.073920
MSFT,5/15/2019,"43,378,626","28,157,940",1.540547
MSFT,4/30/2019,"44,892,598","23,442,825",1.914982
MSFT,4/15/2019,"42,920,632","18,058,282",2.376784
MSFT,3/29/2019,"45,928,562","28,017,222",1.639298
MSFT,3/15/2019,"44,887,908","28,106,752",1.597051
MSFT,2/28/2019,"41,155,216","24,030,677",1.712612
MSFT,2/15/2019,"39,272,903","25,148,209",1.561658
MSFT,1/31/2019,"39,768,623","34,027,502",1.168720
MSFT,1/15/2019,"58,402,379","33,973,306",1.719067
MSFT,12/31/2018,"55,322,262","57,252,976",1.000000
MSFT,12/14/2018,"53,082,108","41,310,795",1.284945
MSFT,11/30/2018,"49,917,579","35,420,435",1.409288
MSFT,11/15/2018,"42,112,290","33,249,907",1.266539
MSFT,10/31/2018,"40,675,990","45,522,602",1.000000
MSFT,10/15/2018,"46,403,307","34,699,190",1.337302
MSFT,9/28/2018,"48,402,349","26,951,183",1.795927
MSFT,9/14/2018,"43,067,826","23,380,143",1.842069
MSFT,8/31/2018,"42,068,394","19,950,534",2.108635
MSFT,8/15/2018,"44,633,868","19,741,791",2.260882
MSFT,7/31/2018,"46,122,482","32,478,028",1.420113
MSFT,7/13/2018,"47,158,592","19,796,451",2.382174
MSFT,6/29/2018,"47,839,463","28,836,374",1.658997
MSFT,6/15/2018,"54,943,793","28,494,867",1.928200
AAPL,5/31/2019,"51,257,104","29,778,281",1.721292
AAPL,5/15/2019,"49,550,348","37,444,374",1.323306
AAPL,4/30/2019,"52,669,476","24,561,618",2.144381
AAPL,4/15/2019,"61,003,851","23,755,423",2.567997
AAPL,3/29/2019,"67,786,010","35,017,255",1.935789
AAPL,3/15/2019,"72,751,656","27,347,457",2.660271
AAPL,2/28/2019,"96,832,513","22,065,273",4.388458
AAPL,2/15/2019,"39,903,215","26,937,971",1.481300
AAPL,1/31/2019,"40,360,782","34,248,007",1.178486
AAPL,1/15/2019,"46,579,709","45,191,034",1.030729
AAPL,12/31/2018,"45,279,694","51,387,635",1.000000
AAPL,12/14/2018,"45,280,056","42,783,191",1.058361
AAPL,11/30/2018,"44,915,125","41,517,026",1.081848
AAPL,11/15/2018,"41,791,371","49,659,457",1.000000
AAPL,10/31/2018,"36,469,092","35,371,102",1.031042
AAPL,10/15/2018,"40,148,064","33,247,265",1.207560
AAPL,9/28/2018,"40,204,115","34,804,592",1.155138
AAPL,9/14/2018,"46,818,683","36,781,006",1.272904
AAPL,8/31/2018,"47,549,672","28,293,025",1.680615
AAPL,8/15/2018,"42,160,518","32,830,503",1.284187
AAPL,7/31/2018,"37,268,767","20,168,669",1.847855
AAPL,7/13/2018,"42,845,978","16,727,009",2.561485
AAPL,6/29/2018,"38,077,092","24,684,978",1.542521
AAPL,6/15/2018,"45,270,714","25,523,951",1.773656
TSLA,5/31/2019,"43,626,944","14,894,342",2.929095
TSLA,5/15/2019,"37,569,877","10,801,447",3.478226
TSLA,4/30/2019,"37,925,793","12,247,699",3.096565
TSLA,4/15/2019,"33,468,438","9,843,321",3.400116
TSLA,3/29/2019,"32,740,424","8,278,953",3.954658
TSLA,3/15/2019,"29,872,310","11,908,629",2.508459
TSLA,2/28/2019,"26,965,480","7,859,048",3.431138
TSLA,2/15/2019,"25,490,917","5,972,912",4.267754
TSLA,1/31/2019,"24,783,245","9,754,695",2.540648
TSLA,1/15/2019,"26,268,029","6,840,591",3.840023
TSLA,12/31/2018,"25,571,716","7,867,238",3.250406
TSLA,12/14/2018,"26,646,210","7,530,469",3.538453
TSLA,11/30/2018,"27,361,651","6,110,314",4.477945
TSLA,11/15/2018,"28,792,194","6,547,759",4.397259
TSLA,10/31/2018,"29,931,418","13,099,206",2.284980
TSLA,10/15/2018,"34,056,805","11,748,424",2.898840
TSLA,9/28/2018,"33,611,481","10,345,288",3.248965
TSLA,9/14/2018,"33,459,061","10,291,531",3.251126
TSLA,8/31/2018,"32,843,807","9,252,052",3.549894
TSLA,8/15/2018,"32,720,582","15,118,819",2.164229
TSLA,7/31/2018,"34,989,543","6,788,355",5.154348
TSLA,7/13/2018,"34,721,889","10,103,891",3.436487
TSLA,6/29/2018,"34,585,642","8,913,280",3.880237
TSLA,6/15/2018,"37,285,669","11,315,584",3.295072
MSFT,5/31/2019,"44,776,796","21,590,421",2.073920
MSFT,6/14/2019,"47,806,626","24,981,637",1.913671
AAPL,6/14/2019,"47,003,511","26,629,536",1.765089
TSLA,6/14/2019,"41,459,902","12,968,616",3.196941
TSLA,5/31/2019,"43,664,833","14,894,342",2.931639
